time,open,high,low,close,成交股數,成交金額,成交筆數,漲跌點數,外資買賣差額
2001-05-28,5123.9,5141.38,5073.15,5079.72,1090116059,32993480496,304610,-90.36,
2001-05-29,5086.3,5174.81,5086.3,5095.26,1619144285,55451848279,435016,15.54,
2001-05-30,5078.91,5103.65,5048.98,5057.07,1160073262,39113444934,321001,-38.19,
2001-05-31,5014.93,5094.56,5012.28,5048.86,1400107691,42421427880,372416,-8.21,
2001-06-01,5090.66,5096.43,4991.32,5013.96,1202593104,37251802117,333094,-34.9,
2001-06-04,5012.14,5012.14,4944.98,4985.11,928676419,27395297587,261783,-28.85,
2001-06-05,5016.26,5065.06,4991.5,5065.06,1366276035,38843114137,364484,79.95,
2001-06-06,5129.48,5234.12,5129.48,5220.44,2315652547,80361522105,590997,155.38,
2001-06-07,5172.69,5177.47,5126.3,5153.35,1693550751,53990889593,440812,-67.09,
2001-06-08,5231.17,5282.82,5206.27,5226.28,2555189735,92853628796,652225,72.93,
2001-06-11,5211.7,5271.3,5198.44,5271.3,1428385682,49714834894,384809,45.02,
2001-06-12,5247.42,5298.69,5244.74,5266.24,1936071610,68528608881,511049,-5.06,
2001-06-13,5270.16,5318.71,5206.42,5209.71,2191497824,75955188671,565110,-56.53,
2001-06-14,5179.4,5200.5,5091.52,5119.19,1405637184,46889840295,392128,-90.52,
2001-06-15,5080.8,5158.63,5080.8,5158.63,1209297137,36532242242,324578,39.44,
2001-06-18,5132.52,5132.6,5052.25,5070.52,1012732146,32416388672,273021,-88.11,
2001-06-19,5073.35,5089.57,5030.51,5039.98,1094056402,32620886985,294526,-30.54,
2001-06-20,5038.89,5074.09,5025.08,5029.64,1013556986,30853276826,281161,-10.34,
2001-06-21,5044.2,5066.17,4965.86,4984.88,1298670580,42745536176,349889,-44.76,
2001-06-22,4957.19,4985.38,4884.91,4904.34,1148312401,37092934714,319776,-80.54,
2001-06-26,4932.15,4948.44,4784.67,4785.12,1252738481,36971529437,338231,-119.22,
2001-06-27,4822.67,4871.74,4773.88,4825.28,1237613998,37488236391,350546,40.16,
2001-06-28,4826.27,4826.68,4741.54,4768.55,1130545038,33707915640,310109,-56.73,
2001-06-29,4854.6,4898.99,4843.55,4883.43,1533098663,48580475535,397314,114.88,
2001-07-02,4886.49,4888.37,4805.49,4886.86,1054446249,32328245485,291097,3.43,
2001-07-03,4861.41,4906.82,4825.85,4843.82,954492930,28801443830,278883,-43.04,
2001-07-04,4801.26,4801.26,4713.84,4739.16,1098719453,29124370934,298048,-104.66,
2001-07-05,4696.56,4761.05,4686.32,4709.2,1063208798,27858711949,294077,-29.96,
2001-07-06,4670.27,4766.27,4663.82,4707.01,1507352057,43941656413,405800,-2.19,
2001-07-09,4677.04,4693.76,4636.9,4657.3,1133609781,33043575634,298286,-49.71,
2001-07-10,4674.29,4692.41,4612.84,4616.71,1208049344,35522521483,322011,-40.59,
2001-07-11,4589.03,4614.79,4538.47,4548.29,1332957402,34845362815,336983,-68.42,
2001-07-12,4587.69,4638.48,4562.05,4633.54,1680502119,50768483687,414509,85.25,
2001-07-13,4715.33,4715.33,4483.09,4485.68,2052918084,59691647794,513958,-147.86,
2001-07-16,4505.72,4510.74,4305.02,4368.69,1617437039,40508967615,397492,-116.99,
2001-07-17,4318.02,4410.7,4301.89,4371.99,1704621897,44617745362,436036,3.3,
2001-07-18,4387.07,4387.19,4204.6,4219.89,1586252085,38763996687,397649,-152.1,
2001-07-19,4090.51,4238.34,4065.64,4190.78,2021258463,51506813407,499762,-29.11,
2001-07-20,4197.42,4270.19,4154.9,4220.33,1619619538,38283658271,395440,29.55,
2001-07-23,4248.35,4262.77,4137.28,4151.93,1270232142,31298375452,327866,-68.4,
2001-07-24,4101.61,4101.61,4008.08,4040.77,1451754885,36927656303,359254,-111.16,
2001-07-25,4026.09,4139.38,4026.09,4136.39,1669126139,45484103622,421939,95.62,
2001-07-26,4157.58,4308.2,4100.3,4300.41,2391417510,62373106067,582915,164.02,
2001-07-27,4341.49,4417.62,4289.37,4320.59,2746676687,75066204509,645096,20.18,
2001-07-31,4299.57,4365.9,4275.42,4352.98,1515973313,48460768717,382839,32.39,
2001-08-01,4402.71,4411.92,4328.53,4354.52,1604194515,48659487511,394929,1.54,
2001-08-02,4393.31,4490.19,4379.66,4490.19,2138671186,63714039873,511137,135.67,
2001-08-03,4499.68,4579.16,4488.54,4530.68,2762363709,71982171611,633474,40.49,
2001-08-06,4507.84,4527.75,4451.04,4470.73,1624834372,41061529201,380240,-59.95,
2001-08-07,4425.24,4426.02,4367.54,4404.0,1349671042,36014675612,340138,-66.73,
2001-08-08,4413.13,4514.1,4413.13,4514.1,2052918410,55958843121,498967,110.1,
2001-08-09,4469.92,4521.16,4445.15,4448.52,2005792758,52553030673,484020,-65.58,
